Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
1   , "1                                                               ", 29/09/2003, A    , A    , A    , A    , A    , A    , A    , A    , A    , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A
2   , "2                                                               ", 06/10/2003, A    , A    , A    , A    , A    , A    , A    , A    , A    , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A     , A
3   , "3                                                               ", 13/10/2003, R    , A    , A    , R    , A    , R    , R    , N    , R    , N     , R     , R     , A     , N     , A     , R     , N     , A     , A     , R     , A     , A     , R     , R     , A
4   , "4                                                               ", 20/10/2003, R    , N    , A    , R    , N    , A    , A    , R    , A    , R     , A     , R     , N     , A     , A     , R     , R     , N     , N     , A     , A     , A     , R     , R     , N
5   , "5                                                               ", 27/10/2003, R    , R    , A    , R    , A    , A    , A    , R    , N    , A     , N     , R     , R     , A     , N     , R     , A     , A     , R     , N     , A     , A     , R     , R     , R
6   , "6                                                               ", 03/11/2003, R    , R    , A    , R    , N    , N    , N    , A    , A    , N     , A     , R     , A     , A     , R     , R     , N     , A     , R     , A     , N     , A     , R     , A     , R
7   , "7                                                               ", 10/11/2003, R    , A    , A    , R    , A    , A    , R    , N    , A    , R     , A     , R     , A     , N     , R     , R     , A     , N     , R     , A     , R     , N     , R     , A     , R
8   , "8                                                               ", 17/11/2003, R    , A    , A    , A    , N    , N    , A    , R    , N    , R     , A     , A     , N     , A     , R     , R     , N     , R     , R     , N     , A     , R     , A     , A     , R
9   , "9                                                               ", 24/11/2003, A    , A    , N    , N    , R    , A    , A    , A    , R    , R     , N     , A     , R     , A     , R     , R     , R     , A     , R     , R     , N     , A     , A     , N     , R
10  , "10                                                              ", 01/12/2003, A    , N    , R    , R    , R    , N    , A    , N    , R    , R     , R     , N     , A     , N     , A     , A     , A     , A     , R     , R     , A     , A     , N     , R     , A
11  , "11                                                              ", 08/12/2003, A    , R    , A    , A    , A    , R    , N    , R    , R    , R     , R     , R     , A     , A     , A     , N     , A     , A     , R     , R     , A     , N     , R     , R     , N
12  , "12                                                              ", 15/12/2003, N    , R    , A    , N    , N    , A    , R    , R    , R    , R     , R     , R     , A     , N     , A     , R     , N     , A     , A     , A     , A     , A     , A     , R     , R
13  , "13                                                              ", 22/12/2003, A    , A    , N    , A    , R    , N    , R    , R    , R    , R     , R     , A     , N     , R     , N     , R     , R     , A     , N     , A     , A     , A     , N     , A     , A
14  , "14                                                              ", 29/12/2003, N    , N    , A    , A    , R    , R    , R    , A    , R    , A     , A     , A     , R     , R     , R     , A     , A     , N     , R     , N     , N     , A     , R     , A     , N
15  , "15                                                              ", 05/01/2004, R    , R    , A    , N    , A    , R    , A    , N    , A    , N     , A     , N     , A     , A     , R     , N     , A     , R     , R     , A     , R     , A     , R     , N     , R
16  , "16                                                              ", 12/01/2004, A    , R    , A    , A    , N    , R    , N    , R    , A    , R     , A     , R     , N     , A     , R     , A     , N     , A     , R     , A     , R     , A     , R     , R     , R
17  , "17                                                              ", 19/01/2004, N    , R    , N    , A    , R    , R    , R    , A    , N    , A     , A     , A     , R     , N     , A     , N     , R     , N     , R     , N     , R     , A     , A     , A     , A
18  , "18                                                              ", 26/01/2004, A    , R    , A    , A    , A    , R    , R    , N    , A    , N     , N     , A     , A     , R     , N     , A     , R     , R     , R     , R     , A     , N     , N     , N     , A
19  , "19                                                              ", 02/02/2004, A    , R    , A    , A    , N    , R    , R    , R    , A    , R     , R     , A     , N     , R     , R     , N     , R     , A     , A     , R     , A     , A     , R     , R     , A
20  , "20                                                              ", 09/02/2004, A    , A    , N    , N    , A    , R    , R    , R    , N    , R     , A     , A     , A     , R     , A     , R     , R     , N     , N     , R     , A     , A     , R     , R     , A
21  , "21                                                              ", 16/02/2004, N    , N    , A    , R    , N    , A    , A    , R    , A    , A     , N     , A     , A     , R     , A     , R     , A     , R     , R     , R     , A     , N     , R     , R     , N
22  , "22                                                              ", 25/02/2004, R    , R    , N    , R    , R    , N    , N    , A    , N    , N     , A     , N     , N     , R     , N     , A     , A     , A     , A     , A     , A     , R     , A     , A     , R
23  , "23                                                              ", 01/03/2004, R    , A    , R    , R    , R    , R    , A    , N    , A    , R     , N     , R     , A     , R     , A     , N     , N     , N     , N     , N     , A     , A     , A     , A     , A
24  , "24                                                              ", 08/03/2004, R    , N    , R    , A    , R    , A    , N    , A    , A    , R     , R     , A     , A     , R     , A     , A     , R     , A     , R     , R     , N     , A     , N     , N     , N
25  , "25                                                              ", 15/03/2004, R    , R    , R    , N    , R    , N    , R    , A    , N    , A     , A     , A     , N     , R     , A     , N     , A     , A     , A     , R     , A     , N     , R     , R     , A
26  , "27                                                              ", 29/03/2004, A    , A    , R    , A    , A    , R    , A    , N    , A    , N     , N     , N     , R     , R     , N     , A     , A     , N     , A     , R     , N     , R     , A     , R     , N
27  , "28                                                              ", 05/04/2004, N    , A    , R    , A    , A    , A    , N    , A    , N    , R     , R     , R     , R     , R     , A     , N     , N     , R     , N     , R     , R     , A     , A     , A     , A
28  , "29                                                              ", 12/04/2004, R    , A    , A    , N    , N    , N    , A    , N    , R    , A     , A     , A     , R     , R     , A     , R     , R     , A     , R     , R     , R     , N     , A     , N     , A
29  , "30                                                              ", 19/04/2004, R    , N    , N    , R    , A    , R    , N    , R    , A    , A     , N     , A     , A     , R     , A     , A     , R     , A     , R     , R     , R     , R     , N     , A     , A
30  , "31                                                              ", 26/04/2004, R    , R    , R    , R    , A    , A    , A    , A    , N    , A     , A     , A     , N     , R     , N     , A     , R     , A     , R     , R     , R     , R     , A     , N     , N
31  , "32                                                              ", 03/05/2004, R    , R    , A    , R    , A    , N    , N    , A    , R    , N     , N     , A     , A     , R     , R     , N     , R     , A     , A     , R     , A     , R     , N     , A     , A
32  , "33                                                              ", 10/05/2004, R    , R    , A    , A    , N    , A    , R    , N    , A    , R     , R     , N     , A     , R     , A     , R     , A     , A     , N     , R     , N     , A     , R     , N     , A
33  , "34                                                              ", 17/05/2004, R    , R    , A    , N    , A    , A    , R    , R    , N    , R     , R     , A     , A     , A     , N     , R     , A     , N     , R     , R     , R     , A     , R     , A     , A
34  , "35                                                              ", 24/05/2004, R    , A    , A    , R    , N    , N    , A    , A    , A    , A     , R     , N     , N     , N     , A     , R     , N     , A     , R     , A     , R     , N     , R     , A     , N
35  , "36                                                              ", 31/05/2004, R    , A    , A    , R    , R    , A    , N    , N    , A    , N     , R     , A     , A     , R     , A     , A     , R     , A     , R     , N     , R     , R     , R     , N     , A
36  , "37                                                              ", 07/06/2004, R    , A    , N    , R    , R    , A    , A    , R    , N    , R     , R     , A     , N     , A     , N     , A     , A     , A     , A     , R     , R     , R     , R     , R     , A
37  , "38                                                              ", 14/06/2004, R    , N    , R    , A    , A    , N    , N    , R    , R    , R     , A     , A     , R     , N     , R     , N     , A     , A     , A     , A     , A     , R     , A     , R     , N
38  , "39                                                              ", 21/06/2004, A    , R    , A    , A    , A    , A    , R    , R    , R    , A     , N     , A     , R     , R     , R     , A     , N     , N     , N     , A     , N     , R     , N     , R     , A
39  , "40                                                              ", 28/06/2004, N    , R    , A    , A    , N    , A    , R    , R    , A    , N     , A     , N     , R     , R     , A     , N     , R     , A     , A     , N     , R     , R     , A     , R     , A
40  , "41                                                              ", 05/07/2004, A    , R    , N    , N    , A    , A    , A    , A    , N    , A     , A     , R     , R     , A     , N     , R     , R     , N     , N     , R     , R     , A     , N     , A     , N
41  , "42                                                              ", 12/07/2004, N    , A    , R    , R    , N    , N    , A    , N    , A    , A     , N     , R     , A     , N     , R     , A     , R     , A     , A     , A     , R     , N     , A     , N     , R
